Profiling dataset amazon0302.txt
Profiling loading
=================

         741364997 function calls (741364797 primitive calls) in 499.575 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:271(__subclasshook__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


Profiling shortest path
=======================

         24903 function calls (24803 primitive calls) in 5.576 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    5.576    5.576 {built-in method builtins.exec}
        1    0.003    0.003    5.576    5.576 <string>:1(<module>)
      100    5.345    0.053    5.562    0.056 __init__.py:1591(shortest_distance)
      100    0.000    0.000    0.139    0.001 decorators.py:1(copy_property)
  200/100    0.002    0.000    0.139    0.001 decorators.py:126(wrapper)
      100    0.082    0.001    0.135    0.001 __init__.py:2367(copy_property)
      300    0.000    0.000    0.046    0.000 __init__.py:560(get_array)
      300    0.043    0.000    0.046    0.000 __init__.py:582(_get_data)
      700    0.002    0.000    0.038    0.000 __init__.py:166(_prop)
      600    0.002    0.000    0.035    0.000 __init__.py:393(_get_any)
      600    0.032    0.000    0.032    0.000 __init__.py:811(reserve)
      200    0.002    0.000    0.014    0.000 __init__.py:3093(__init__)
      200    0.005    0.000    0.013    0.000 __init__.py:2308(new_vertex_property)
      100    0.000    0.000    0.013    0.000 __init__.py:662(<lambda>)
      100    0.012    0.000    0.013    0.000 __init__.py:615(__get_set_f_array)
      600    0.003    0.000    0.009    0.000 __init__.py:383(__init__)
      100    0.009    0.000    0.009    0.000 __init__.py:1768(vertex)
      200    0.003    0.000    0.009    0.000 __init__.py:1544(__init__)
      100    0.000    0.000    0.006    0.000 __init__.py:2293(new_property)
      800    0.002    0.000    0.004    0.000 __init__.py:208(_type_alias)
      600    0.001    0.000    0.003    0.000 __init__.py:438(__del__)
      400    0.003    0.000    0.003    0.000 {built-in method numpy.array}
      600    0.001    0.000    0.003    0.000 __init__.py:270(_converter)
      300    0.001    0.000    0.003    0.000 __init__.py:914(__new__)
      600    0.002    0.000    0.003    0.000 __init__.py:433(__unregister_map)
      400    0.002    0.000    0.002    0.000 __init__.py:3183(value_types)
     1100    0.001    0.000    0.002    0.000 {built-in method builtins.isinstance}
      700    0.002    0.000    0.002    0.000 __init__.py:552(value_type)
      600    0.001    0.000    0.002    0.000 __init__.py:231(_python_type)
      100    0.001    0.000    0.002    0.000 numerictypes.py:365(issubdtype)
      600    0.001    0.000    0.002    0.000 __init__.py:428(__register_map)
      600    0.001    0.000    0.001    0.000 __init__.py:1376(__init__)
      100    0.001    0.000    0.001    0.000 getlimits.py:497(__init__)
      200    0.001    0.000    0.001    0.000 numerictypes.py:293(issubclass_)
      900    0.001    0.000    0.001    0.000 __init__.py:2868(num_vertices)
      300    0.000    0.000    0.001    0.000 numeric.py:469(asarray)
      100    0.000    0.000    0.001    0.000 abc.py:137(__instancecheck__)
      300    0.001    0.000    0.001    0.000 {method 'view' of 'numpy.ndarray' objects}
     1600    0.001    0.000    0.001    0.000 __init__.py:541(get_graph)
      100    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      400    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      200    0.000    0.000    0.000    0.000 __init__.py:1323(__init__)
     2600    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      300    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      100    0.000    0.000    0.000    0.000 __init__.py:919(_check_prop_writable)
      400    0.000    0.000    0.000    0.000 __init__.py:2577(set_directed)
     1600    0.000    0.000    0.000    0.000 __init__.py:548(key_type)
      100    0.000    0.000    0.000    0.000 getlimits.py:522(max)
      100    0.000    0.000    0.000    0.000 __init__.py:3399(_vt_init)
     1400    0.000    0.000    0.000    0.000 __init__.py:2922(__get_base)
      100    0.000    0.000    0.000    0.000 __init__.py:925(_check_prop_scalar)
      100    0.000    0.000    0.000    0.000 __init__.py:795(is_writable)
      100    0.000    0.000    0.000    0.000 __init__.py:2708(get_vertex_filter)
      300    0.000    0.000    0.000    0.000 __init__.py:908(_set_pmap)
      600    0.000    0.000    0.000    0.000 __init__.py:3169(__get_base)
      300    0.000    0.000    0.000    0.000 __init__.py:2230(_get_vertex_index)
      200    0.000    0.000    0.000    0.000 __init__.py:2624(set_filters)
      400    0.000    0.000    0.000    0.000 __init__.py:140(_to_str)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


Profiling PageRank
==================

         6303 function calls in 4.889 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    4.889    4.889 {built-in method builtins.exec}
        1    0.002    0.002    4.888    4.888 <string>:1(<module>)
      100    4.812    0.048    4.884    0.049 __init__.py:62(pagerank)
      200    0.026    0.000    0.057    0.000 __init__.py:615(__get_set_f_array)
      200    0.000    0.000    0.030    0.000 __init__.py:560(get_array)
      200    0.027    0.000    0.030    0.000 __init__.py:582(_get_data)
      100    0.000    0.000    0.026    0.000 __init__.py:662(<lambda>)
      100    0.004    0.000    0.011    0.000 __init__.py:2308(new_vertex_property)
      300    0.002    0.000    0.004    0.000 __init__.py:166(_prop)
      100    0.001    0.000    0.004    0.000 __init__.py:383(__init__)
      200    0.001    0.000    0.003    0.000 __init__.py:208(_type_alias)
      200    0.001    0.000    0.003    0.000 __init__.py:914(__new__)
      100    0.000    0.000    0.002    0.000 __init__.py:438(__del__)
      200    0.002    0.000    0.002    0.000 __init__.py:3183(value_types)
      100    0.002    0.000    0.002    0.000 __init__.py:433(__unregister_map)
      100    0.001    0.000    0.001    0.000 __init__.py:393(_get_any)
      100    0.001    0.000    0.001    0.000 __init__.py:270(_converter)
      100    0.000    0.000    0.001    0.000 __init__.py:231(_python_type)
      400    0.001    0.000    0.001    0.000 __init__.py:2868(num_vertices)
      200    0.000    0.000    0.001    0.000 numeric.py:469(asarray)
      200    0.001    0.000    0.001    0.000 {method 'view' of 'numpy.ndarray' objects}
      200    0.000    0.000    0.000    0.000 {built-in method numpy.array}
      100    0.000    0.000    0.000    0.000 __init__.py:552(value_type)
      100    0.000    0.000    0.000    0.000 __init__.py:428(__register_map)
      300    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
      600    0.000    0.000    0.000    0.000 __init__.py:541(get_graph)
      200    0.000    0.000    0.000    0.000 __init__.py:2708(get_vertex_filter)
      100    0.000    0.000    0.000    0.000 __init__.py:811(reserve)
      500    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      200    0.000    0.000    0.000    0.000 __init__.py:908(_set_pmap)
      200    0.000    0.000    0.000    0.000 __init__.py:548(key_type)
      100    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      300    0.000    0.000    0.000    0.000 __init__.py:2922(__get_base)
      200    0.000    0.000    0.000    0.000 __init__.py:140(_to_str)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


Profiling k-core
================

         3603 function calls in 11.313 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   11.313   11.313 {built-in method builtins.exec}
        1    0.002    0.002   11.313   11.313 <string>:1(<module>)
      100   11.282    0.113   11.309    0.113 __init__.py:1517(kcore_decomposition)
      100    0.001    0.000    0.018    0.000 __init__.py:166(_prop)
      100    0.001    0.000    0.016    0.000 __init__.py:393(_get_any)
      100    0.015    0.000    0.015    0.000 __init__.py:811(reserve)
      100    0.004    0.000    0.009    0.000 __init__.py:2308(new_vertex_property)
      100    0.001    0.000    0.003    0.000 __init__.py:383(__init__)
      200    0.001    0.000    0.003    0.000 __init__.py:208(_type_alias)
      100    0.000    0.000    0.002    0.000 __init__.py:438(__del__)
      100    0.002    0.000    0.002    0.000 __init__.py:433(__unregister_map)
      200    0.002    0.000    0.002    0.000 __init__.py:3183(value_types)
      100    0.001    0.000    0.001    0.000 __init__.py:270(_converter)
      100    0.000    0.000    0.001    0.000 __init__.py:231(_python_type)
      100    0.000    0.000    0.000    0.000 __init__.py:919(_check_prop_writable)
      200    0.000    0.000    0.000    0.000 __init__.py:552(value_type)
      100    0.000    0.000    0.000    0.000 __init__.py:428(__register_map)
      100    0.000    0.000    0.000    0.000 __init__.py:2868(num_vertices)
      100    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
      100    0.000    0.000    0.000    0.000 __init__.py:925(_check_prop_scalar)
      100    0.000    0.000    0.000    0.000 __init__.py:795(is_writable)
      500    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      200    0.000    0.000    0.000    0.000 __init__.py:541(get_graph)
      200    0.000    0.000    0.000    0.000 __init__.py:548(key_type)
      300    0.000    0.000    0.000    0.000 __init__.py:2922(__get_base)
      200    0.000    0.000    0.000    0.000 __init__.py:140(_to_str)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


Profiling strongly connected components
=======================================

         3603 function calls in 8.797 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    8.797    8.797 {built-in method builtins.exec}
        1    0.002    0.002    8.797    8.797 <string>:1(<module>)
      100    8.766    0.088    8.793    0.088 __init__.py:1002(label_components)
      100    0.001    0.000    0.017    0.000 __init__.py:166(_prop)
      100    0.001    0.000    0.016    0.000 __init__.py:393(_get_any)
      100    0.015    0.000    0.015    0.000 __init__.py:811(reserve)
      100    0.004    0.000    0.010    0.000 __init__.py:2308(new_vertex_property)
      100    0.001    0.000    0.003    0.000 __init__.py:383(__init__)
      200    0.001    0.000    0.003    0.000 __init__.py:208(_type_alias)
      100    0.000    0.000    0.002    0.000 __init__.py:438(__del__)
      200    0.002    0.000    0.002    0.000 __init__.py:3183(value_types)
      100    0.002    0.000    0.002    0.000 __init__.py:433(__unregister_map)
      100    0.001    0.000    0.001    0.000 __init__.py:270(_converter)
      100    0.000    0.000    0.001    0.000 __init__.py:231(_python_type)
      100    0.000    0.000    0.000    0.000 __init__.py:919(_check_prop_writable)
      200    0.000    0.000    0.000    0.000 __init__.py:552(value_type)
      100    0.000    0.000    0.000    0.000 __init__.py:428(__register_map)
      100    0.000    0.000    0.000    0.000 __init__.py:2868(num_vertices)
      100    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
      100    0.000    0.000    0.000    0.000 __init__.py:925(_check_prop_scalar)
      100    0.000    0.000    0.000    0.000 __init__.py:795(is_writable)
      500    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      200    0.000    0.000    0.000    0.000 __init__.py:541(get_graph)
      200    0.000    0.000    0.000    0.000 __init__.py:548(key_type)
      300    0.000    0.000    0.000    0.000 __init__.py:2922(__get_base)
      200    0.000    0.000    0.000    0.000 __init__.py:140(_to_str)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


